Company,ISIN,Current Close,Previous Close,Price Change,3M Change,6M Change,9M Change,12M Change,Market Cap,Market FF,Total_Trading_Volume,3M_Avg,52W_High,52W_Low
Sunteck Realty,INE805D01034,412.45,418.1,-0.013513513513513594,0.05122976933860065,-0.05173008391769169,0.1036928017126037,-0.2225259189443921,"6,035.35","1,988.01",63046,435898.953125,545,347
OBEROI REALTY,INE093I01010,1663.7,1640.6,0.014080214555650455,0.0010830976593055866,-0.06391717774151798,0.09815181518151818,-0.23145859799053006,"60,508.87","19,533.29",430832,529554.0625,2343.65,1451.95
DLF,INE271C01023,709.35,708.0,0.0019067796610169813,-0.06430550059358923,-0.11706497386109031,0.10267371366392053,-0.16345303378736956,"1,75,561.48","45,372.29",2922371,2377790.46875,896.6,601.2
Embassy Development Ltd,INE069I01010,72.69,73.91,-0.016506562034907305,-0.2536960985626284,-0.33966206395348836,-0.36917469409008075,-0.4736422881969587,"10,039.25","3,938.09",3625270,5202112.453125,163.69,72.39
PRESTIGE ESTATE,INE811K01011,1659.2,1642.2,0.010351966873706004,0.06755887273195213,0.04906423874557419,0.3966917799570689,-0.06289006240998554,"71,380.61","27,876.77",189767,702678.703125,1900,1048.05
HDIL,INE191I01012,2.52,2.58,-0.023255813953488393,-0.19230769230769232,-0.27999999999999997,-0.17915309446254066,-0.38386308068459657,119.92,69.74,403336,180399.5,4.66,2.51
PHOENIX MILLS,INE211B01039,1734.1,1721.2,0.007494771089937174,0.15521950569582307,0.0917275245530092,0.11740447193762472,-0.01602973302692428,"61,985.05","32,253.30",232936,606081.265625,1902,1402.5
GODREJ PROPERTIES Ltd.,INE484J01027,2079.6,2067.8,0.00570654802205229,0.03834631515877769,-0.081367611979857,0.035451105357498416,-0.2829583656581329,"62,658.45","30,942.00",378502,567483.75,3015,1900
SOBHA LTD.,INE671H01015,1538.9,1528.2,0.00700170134799113,0.06131034482758627,0.015105540897097685,0.2910776458744075,-0.09228182971067911,"16,429.16","6,822.29",50398,187264.1875,1732.5,1075.3
MAHINDRA LIFESPACES,INE813A01018,417.85,420.5,-0.006302021403091503,0.17241863075196423,0.26506206478958527,0.3262974131090303,-0.18188937836514923,"8,928.27","4,223.67",143234,231039.46875,474.31,255.69
OMAXE,INE800H01010,68.46,70.04,-0.022558537978298293,-0.21028953743222983,-0.31765174922754913,-0.09647617790682332,-0.3636955107351985,"1,252.87",322.92,73140,188590.78125,127.44,66.6
KOLTE PATIL LTD.,INE094I01018,376.45,375.15,0.003465280554444919,-0.17688859735432388,-0.1356905062564574,0.45263360987844886,-0.041746213567519494,"3,334.37",871.69,118980,101984.015625,497.55,239
BRIGADE ENTERPRISES,INE791I01019,891.55,885.6,0.006718608852755117,-0.03974365878614906,-0.26500412201154167,-0.059843931245386485,-0.31265900855755147,"21,880.15","12,396.05",111941,383177.078125,1340.5,850.7
UNITECH,INE694A01020,5.98,5.95,0.005042016806722731,-0.1333333333333333,-0.2026666666666666,-0.03236245954692545,-0.42389210019267826,"1,566.17","1,479.46",2498512,4555051.234375,11.99,5.5
ANANT RAJ,INE242C01024,540.35,553.35,-0.023493268275051955,0.012175704785988574,-0.053511998598703724,0.2003776518938133,-0.2518518518518518,"19,442.35","7,691.41",1501240,5648253.875,947.9,376.15
ASHIANA HOUSING,INE365D01021,297.6,296.9,0.002357696194004869,-0.054938075579548926,-0.07029053420805997,-0.013589658601259417,-0.07906544948166473,"3,005.69","1,062.16",13538,38524.328125,395.7,247.8
EMBASSY,INE041025011,447.49,449.69,-0.0048922591118325705,0.14479776919337928,0.1535625902247886,0.21948494345278655,0.2260335899613688,"42,441.94","39,172.47",742462,1057533.171875,453.99,342.1
BROOKFIELD,INE0FDU25010,331.24,333.97,-0.00817438692098098,0.03496328698640837,0.08603278688524593,0.1274720038122468,0.17782597873626566,"21,216.99","15,603.33",497128,230104.703125,355.38,270.87
