Company,ISIN,Vol_2025-08-25,Vol_2025-08-26,Vol_2025-08-27,Vol_2025-08-28,Vol_2025-08-29,Vol_2025-08-30,Vol_2025-08-31,Vol_2025-09-01,Vol_2025-09-02,Vol_2025-09-03,Vol_2025-09-04,Vol_2025-09-05,Vol_2025-09-06,Vol_2025-09-07,Vol_2025-09-08,Vol_2025-09-09,Vol_2025-09-10,Vol_2025-09-11,Vol_2025-09-12,Vol_2025-09-13,Vol_2025-09-14,Vol_2025-09-15,Vol_2025-09-16,Vol_2025-09-17,Vol_2025-09-18,Vol_2025-09-19,Vol_2025-09-20,Vol_2025-09-21,Vol_2025-09-22,Vol_2025-09-23,Vol_2025-09-24,Vol_2025-09-25,Vol_2025-09-26,Vol_2025-09-27,Vol_2025-09-28,Vol_2025-09-29,Vol_2025-09-30,Vol_2025-10-01,Vol_2025-10-02,Vol_2025-10-03,Vol_2025-10-04,Vol_2025-10-05,Vol_2025-10-06,Vol_2025-10-07,Vol_2025-10-08,Vol_2025-10-09,Vol_2025-10-10,Vol_2025-10-11,Vol_2025-10-12,Vol_2025-10-13,Vol_2025-10-14,Vol_2025-10-15,Vol_2025-10-16,Vol_2025-10-17,Vol_2025-10-18,Vol_2025-10-19,Vol_2025-10-20,Vol_2025-10-21,Vol_2025-10-22,Vol_2025-10-23,Vol_2025-10-24,Vol_2025-10-25,Vol_2025-10-26,Vol_2025-10-27,Vol_2025-10-28,Vol_2025-10-29,Vol_2025-10-30,Vol_2025-10-31,Vol_2025-11-01,Vol_2025-11-02,Vol_2025-11-03,Vol_2025-11-04,Vol_2025-11-05,Vol_2025-11-06,Vol_2025-11-07,Vol_2025-11-08,Vol_2025-11-09,Vol_2025-11-10,Vol_2025-11-11,Vol_2025-11-12,Vol_2025-11-13,Vol_2025-11-14,Vol_2025-11-15,Vol_2025-11-16,Vol_2025-11-17,Vol_2025-11-18,Vol_2025-11-19,Vol_2025-11-20,Vol_2025-11-21,Vol_2025-11-22,Vol_2025-11-23,Vol_2025-11-24,Vol_2025-11-25,Vol_2025-11-26,Vol_2025-11-27
ANANT RAJ,INE242C01024,680841,711933,0,868087,927685,0,0,821525,1238929,943951,790557,753104,0,0,696037,945288,1236171,722467,898689,0,0,37936967,17940317,2614149,2310976,25591775,0,0,27450418,5605902,25762615,5326166,15950409,0,0,18496523,6303973,4386557,0,11687102,0,0,5821629,10829533,9179489,6294274,4928838,0,0,3701826,4259717,5986489,9258625,8191366,0,0,4493500,0,0,3116660,2747632,0,0,3118482,1652532,2767958,4369337,2448723,0,0,1968400,1909500,0,0,3353815,0,0,3950138,1841108,1433260,1401744,1665482,0,0,4908883,1325759,1064973,1202579,1069729,0,0,3458704,3776246,7224158,2063715
ASHIANA HOUSING,INE365D01021,29677,422309,0,46682,38162,0,0,44906,28783,49812,37883,39728,0,0,13610,15521,19335,27608,22780,0,0,50925,21312,16058,43334,72819,0,0,41895,17223,39846,46038,25748,0,0,45059,20916,23796,0,25606,0,0,16448,23165,22964,20884,19909,0,0,14596,24100,77260,20102,18660,0,0,64799,0,0,44189,30930,0,0,33677,42562,37952,26020,25448,0,0,37162,27912,0,0,37565,0,0,28314,27684,60352,284510,52638,0,0,56639,72104,68590,50919,24087,0,0,37019,30353,20279,36733
Adtiya Birla Real estate Ltd,INE055A01016,108380,107932,0,67837,63730,0,0,50192,146953,44785,75058,42952,0,0,65720,94828,53562,57840,39375,0,0,217465,208182,119383,113951,125075,0,0,70109,82924,68594,101518,77427,0,0,123603,155727,358538,0,400861,0,0,375904,838053,156633,263326,198325,0,0,106670,156771,1027870,137665,79545,0,0,185458,0,0,228355,249466,0,0,306681,490110,949223,669092,254813,0,0,117614,86318,0,0,53874,0,0,137544,67706,97878,96377,57425,0,0,102726,152013,487267,105684,73152,0,0,209603,138677,93453,124778
Ahluwalia Contracts (India) Ltd.,INE758C01029,40340,36368,0,55509,40639,0,0,30504,34452,29202,30156,23919,0,0,32621,65303,40265,25334,18075,0,0,30881,142217,80092,46037,31328,0,0,94198,61188,72600,64403,56460,0,0,20133,96421,122522,0,53391,0,0,30327,19870,26588,22426,12325,0,0,21725,36278,42840,37464,19314,0,0,91575,0,0,134574,10746,0,0,17299,45346,110942,69267,30578,0,0,16165,31501,0,0,29064,0,0,24398,18161,15914,21810,18316,0,0,2896896,3109677,247106,105610,72764,0,0,52781,374908,129663,40571
Ajmera Realty & Infra India Ltd,INE298G01027,23004,24992,0,37311,25613,0,0,36089,400424,116325,183442,103435,0,0,105314,45218,74173,40612,29946,0,0,41532,52171,72031,37521,264256,0,0,436209,151598,181456,151665,88147,0,0,110426,28123,39771,0,93167,0,0,40811,48329,368586,112302,106276,0,0,135654,64312,56168,57770,46640,0,0,57336,0,0,53103,56513,0,0,54607,72738,53388,88546,134313,0,0,126373,29675,0,0,57724,0,0,45112,44108,40182,21944,21203,0,0,17314,100894,51232,24677,62232,0,0,53385,41328,49135,23870
Arkade Developers,INE0QRL01017,622978,514257,0,1546798,456211,0,0,436394,1270331,3165812,1558148,619544,0,0,554690,521690,738524,716059,1116322,0,0,912827,598742,365443,2143644,516131,0,0,790970,561099,733726,541803,422295,0,0,328389,313449,311655,0,425489,0,0,296308,248287,455712,245521,1130277,0,0,406217,344854,1368353,2456431,943657,0,0,481237,0,0,259332,234146,0,0,402375,453991,1175082,336201,652896,0,0,349511,215775,0,0,202731,0,0,113912,232053,259280,297037,555094,0,0,314839,250091,404143,173871,400511,0,0,289704,307065,749945,384018
BRIGADE ENTERPRISES,INE791I01019,295320,170042,0,502743,199334,0,0,117570,247429,254374,108076,842233,0,0,370411,485754,570487,290605,174399,0,0,270344,558810,195532,401499,498636,0,0,310233,315061,508822,297809,566994,0,0,591750,666248,257368,0,316802,0,0,557269,1190775,454789,212024,568131,0,0,135106,229531,780376,449426,524301,0,0,206513,0,0,842662,481791,0,0,587299,423384,188861,355377,644668,0,0,411147,297185,0,0,287865,0,0,280090,177839,341014,260379,533474,0,0,183601,128073,85452,131644,170791,0,0,806310,1111206,178929,336706
BROOKFIELD,INE0FDU25010,315739,1788640,0,126087,179861,0,0,79844,575139,168552,78985,118159,0,0,286294,140873,365643,434952,407458,0,0,249405,337725,340276,122589,415085,0,0,141567,80971,160437,246546,865413,0,0,579842,179473,136907,0,135723,0,0,114465,227450,90520,126571,117049,0,0,151878,129298,83624,141592,53890,0,0,62232,0,0,233763,184697,0,0,163976,142798,187899,99158,76555,0,0,145462,161016,0,0,223085,0,0,111190,93945,100396,127308,88291,0,0,330287,341870,221645,192087,346230,0,0,626706,251093,498981,260677
DLF,INE271C01023,1770136,2522311,0,2861131,3092115,0,0,1478609,1793773,1491010,2006206,2223312,0,0,1341886,1712438,2394861,1531987,1622877,0,0,3778337,2956172,2114116,2088371,4166786,0,0,1721312,3317834,3795466,4604317,2147359,0,0,1980340,3307811,3610706,0,3401092,0,0,1937889,2002006,2243307,2057951,2210996,0,0,1462411,2017513,3459198,2851904,3223497,0,0,1320109,0,0,3243396,1874993,0,0,1794058,1810965,2813703,1883812,3651214,0,0,3908118,3299332,0,0,2011681,0,0,1491545,1524454,2397427,2287212,1201199,0,0,1344412,1299277,2666552,1555942,3630014,0,0,4852812,2358990,2026553,1106545
EMBASSY,INE041025011,442816,885453,0,1526159,1872208,0,0,479970,395820,542641,269991,487001,0,0,353669,1498310,390102,298866,710751,0,0,616344,1246328,1137436,487640,1332028,0,0,361847,298915,616668,1367335,857185,0,0,1220900,3333118,3219041,0,1730018,0,0,9751196,496655,168370,445970,228621,0,0,209868,201386,313423,315038,368087,0,0,422115,0,0,3157643,2951539,0,0,557128,503921,558810,191878,566413,0,0,288924,1042691,0,0,505332,0,0,1007967,1135748,474732,909060,2260895,0,0,886813,1681562,759325,4542452,551431,0,0,794390,565219,432894,298877
