Company,ISIN,Current Close,Previous Close,Price Change,3M Change,6M Change,9M Change,12M Change,Market Cap,Market FF,Total_Trading_Volume,3M_Avg,52W_High,52W_Low
Sunteck Realty,INE805D01034,423.05,416.25,0.016336336336336365,0.09513331607558892,0.031703450798683086,0.1574555403556772,-0.17251833740831293,"6,195.02","2,040.61",107950,444472.8253968254,545,347
OBEROI REALTY,INE093I01010,1647.2,1661.6,-0.008666345690900256,0.017543859649122865,-0.045599397415841035,0.10959919164701923,-0.1842717773485861,"59,858.02","19,323.19",228593,537085.8412698413,2343.65,1451.95
DLF,INE271C01023,723.6,725.4,-0.0024813895781637093,-0.03449196077123227,-0.06269430051813468,0.13854142081661563,-0.11089267063955274,"1,79,163.06","46,303.08",1484763,2407200.9206349207,896.6,601.2
Embassy Development Ltd,INE069I01010,77.27,78.37,-0.014035983156820319,-0.18517346831171572,-0.26584323040380053,-0.32744364174427715,-0.4277991706161137,"10,669.29","4,185.23",3245096,5192511.968253968,163.69,76.25
PRESTIGE ESTATE,INE811K01011,1677.3,1669.5,0.004672057502246155,0.06164947148553697,0.15532442485190798,0.48881590626664306,0.0034399210313780623,"72,207.62","28,199.75",256624,734780.9206349206,1900,1048.05
HDIL,INE191I01012,2.62,2.64,-0.007575757575757582,-0.12956810631229226,,,-0.3466334164588528,125.14,72.77,269855,170105.95238095237,4.66,2.52
PHOENIX MILLS,INE211B01039,1736.8,1741.0,-0.002412406662837476,0.15042723719944354,0.09225834853153893,0.12189135068794009,0.026507875528236597,"62,101.27","32,313.77",290472,647468.8253968254,1902,1402.5
GODREJ PROPERTIES Ltd.,INE484J01027,2114.6,2096.3,0.008729666555359311,0.06550438375491283,-0.05264101070740559,0.09208283840314,-0.24901003285092785,"63,661.47","31,437.31",311223,602657.4126984127,3015,1900
SOBHA LTD.,INE671H01015,1537.3,1538.4,-0.0007150286011441344,0.03871621621621619,0.10636919755307661,0.2804431117774447,-0.06773802304426928,"16,456.42","6,833.61",80075,192237.0634920635,1732.5,1075.3
MAHINDRA LIFESPACES,INE813A01018,419.4,416.1,0.007930785868781433,0.21706326175275667,0.2426666666666666,0.3236547262111408,-0.14180478821362802,"8,945.33","4,231.74",548767,232156.88888888888,474.31,255.69
OMAXE,INE800H01010,69.66,69.73,-0.0010038720780153074,-0.17189728958630537,-0.20678660897289908,-0.11576542269611582,-0.299195171026157,"1,265.12",326.08,81594,347697.1746031746,127.44,66.6
KOLTE PATIL LTD.,INE094I01018,378.2,379.45,-0.003294241665568586,-0.19480519480519481,-0.0696186961869619,0.5127999999999999,0.03488849363798057,"3,344.13",874.24,42778,137766.03174603175,497.55,239
BRIGADE ENTERPRISES,INE791I01019,895.1,898.5,-0.0037840845854201196,-0.060656941966628145,-0.17631361001196283,-0.05485454833430118,-0.2714471756470779,"21,893.60","12,403.66",123955,395851.95238095237,1340.5,850.7
UNITECH,INE694A01020,6.18,6.32,-0.022151898734177305,-0.10564399421128805,-0.029827315541601316,-0.004830917874396175,-0.3201320132013202,"1,610.61","1,521.45",3088833,4516281.492063492,11.99,5.5
ANANT RAJ,INE242C01024,576.45,587.55,-0.01889200919070702,0.1136978361669243,0.11563770079349718,0.24436049649217495,-0.13672781729689248,"20,743.31","8,206.07",1756580,5656887.555555556,947.9,376.15
ASHIANA HOUSING,INE365D01021,300.65,300.1,0.0018327224258578956,-0.04767184035476722,-0.012643678160919615,0.0009988346928581804,-0.03125503463831173,"3,017.25","1,066.24",28627,45141.206349206346,395.7,247.8
EMBASSY,INE041025011,426.81,426.44,0.0008676484382328218,0.11961910757850011,0.11333994156928211,0.1717823413134197,0.14616789301251412,"40,315.82","37,210.13",665505,1071824.3333333333,437,342.1
BROOKFIELD,INE0FDU25010,332.48,329.85,0.00797332120660905,0.05058931336303596,0.09729372937293736,0.11134137781194639,0.15236378760571204,"21,292.51","15,658.87",296306,247077.2857142857,355.38,270.87
MINDSPACE,INE0CCU25019,462.68,459.62,0.006657673730473004,0.09678795780490691,0.15597751405371643,0.2748463891108478,0.23279422344195466,"27,987.72","9,946.19",48695,168207.60317460317,474.9,354.3
Lodha Macrotech,INE670K01029,1148.2,1156.6,-0.00726266643610571,-0.04966065220989902,-0.2177408366262433,0.015297550623397252,-0.09789440603394085,"1,14,646.71","32,202.89",1581250,1323919.4285714286,1531,1035.15
RUSTOMJEE KEYSTONE,INE263M01029,540.85,538.4,0.0045505200594354485,-0.152471989344198,0.03413001912045893,0.04380970761362549,-0.2489759077969867,"6,800.23","1,478.80",30176,104791.66666666667,738.3,480.05
Signature Global,INE903U01023,1112.9,1122.7,-0.008728956978711993,0.007879007426190947,-0.08259830187123883,0.06482323111515093,-0.16474031822275592,"15,667.64","4,356.39",533049,362140.71428571426,1414.8,988
Puravankara,INE323I01011,249.5,248.9,0.0024106066693450954,-0.13020742548370234,-0.04734631538755242,0.03915035401915871,-0.3229308005427408,"5,925.18","1,480.51",24825,174777.90476190476,463.7,208.7
Suraj Estate,INE843S01025,270.6,268.75,0.006883720930232643,-0.1023386963012107,-0.15622076707202984,-0.09407432206226972,-0.5910842463165847,"1,291.08",389.21,63379,365449.07936507935,729.85,263.35
Arkade Developers,INE0QRL01017,164.43,165.32,-0.005383498669247437,-0.0616868294909838,-0.1174386774730288,0.18491028320242123,0.10786955935857714,"3,055.09",198.32,299920,637998.0476190476,213.69,130.56
Kalpataru Ltd,INE227J01012,345.55,349.25,-0.010594130279169616,-0.10779757294087271,,,,"7,116.39",781.74,43666,90852.0,457.4,344.95
Raymond Realty,INE1SY401010,503.2,495.5,0.015539858728556991,-0.18864882296033544,,,,"3,345.00","1,675.90",264669,289958.5873015873,1050,460
Sri Lotus Developers,INE0V9Q01010,167.9,168.82,-0.005449591280653877,-0.06737765927900903,,,,"8,208.11",753.99,253047,1842077.8253968253,218.49,166
Knowledge Realty Trust,INE1JAR25012,119.09,117.02,0.01768928388309697,0.11070695765715356,,,,"52,884.65","11,338.47",965947,893575.6507936508,122.03,103
NBCC (India) Ltd.,INE095N01031,116.69,117.42,-0.006216998807698893,0.17987866531850344,0.009429065743944667,0.6015646445237441,0.1815512353179424,"31,509.00","12,049.80",6131782,11582513.761904761,130.7,70.8
Adtiya Birla Real estate Ltd,INE055A01016,1773.6,1745.8,0.015923931721846692,0.015109890109890032,-0.2018361009855542,-0.04803821587676453,-0.35105468249757604,"19,798.06","9,252.76",280122,192357.9365079365,2980,1562.6
Valor Estate Ltd,INE879I01012,131.79,134.91,-0.023126528796975795,-0.2252204585537919,-0.31000000000000005,0.067557715674362,-0.24035967490921675,"7,106.71","2,733.20",397431,1227325.111111111,252.67,115.11
Max Estate Ltd,INE03EI01018,484.7,481.85,0.005914703745978968,0.0790293855743544,-0.05636133553976441,0.19472516637909787,-0.10090892227787059,"7,799.48","2,522.23",76296,101384.23809523809,630,341.1
Welspun Enterprise Ltd,INE625G01013,525.75,531.7,-0.011190520970472155,0.13577446532728457,0.07482367371971793,0.259583133684715,0.02335766423357664,"7,295.79","3,013.00",76099,282556.3333333333,655,400.05
Ganesh Housing Ltd.,INE460C01014,838.4,854.65,-0.01901363131106301,-0.030303030303030356,-0.17795862339445043,-0.22560384242368273,-0.3269377433468471,"7,000.35","1,868.90",187134,120477.50793650794,1485,782
Ahluwalia Contracts (India) Ltd.,INE758C01029,995.25,988.85,0.006472164635687897,0.05922733077905489,0.068897003544195,0.5402770254584849,-0.00614140203714797,"6,669.28","2,977.30",59477,150148.3650793651,1174.8,620
Hubtown Ltd.,INE703H01016,312.35,314.55,-0.006994118582101378,-0.11264204545454538,0.7435110242813285,0.525146484375,0.13006512301013043,"4,348.05","2,779.67",319584,753308.8412698413,365.7,162.05
TARC Ltd.,INE0EK901012,140.04,138.47,0.011338195999133337,-0.1286167631136831,-0.16860603182142012,0.17532522031053283,-0.3641482019614966,"4,129.87","1,396.88",975812,815704.0476190476,232.5,103.22
Marathon Nextgen Realty Ltd.,INE182D01020,548.95,554.45,-0.009919740283163494,-0.1403179077597681,0.12743889915793813,0.39256722475900574,-0.07443938627550156,"3,700.71","1,609.55",1009226,130569.46031746031,769.45,352.05
Hemisphere Properties Ltd.,INE0AJG01018,138.99,139.96,-0.006930551586167468,0.03871160600851959,-0.02531556802244029,0.12142972406002914,-0.19421415734245462,"3,970.05","1,223.44",117752,1733868.396825397,190.69,111.03
Ajmera Realty & Infra India Ltd,INE298G01027,1020.1,1016.1,0.003936620411376833,0.16144825230559043,0.29758951853971893,0.3933888813003688,-0.03243858484302374,"4,010.50","1,263.19",19783,85900.80952380953,1224.9,681.55
