Date,Sunteck Realty,OBEROI REALTY,DLF,Embassy Development Ltd,PRESTIGE ESTATE,HDIL,PHOENIX MILLS,GODREJ PROPERTIES Ltd.,SOBHA LTD.,MAHINDRA LIFESPACES,OMAXE,KOLTE PATIL LTD.,BRIGADE ENTERPRISES,UNITECH,ANANT RAJ,ASHIANA HOUSING,EMBASSY,BROOKFIELD,MINDSPACE,Lodha Macrotech,RUSTOMJEE KEYSTONE,Signature Global,Puravankara,Suraj Estate,Arkade Developers,Kalpataru Ltd,Raymond Realty,Sri Lotus Developers,Knowledge Realty Trust,NBCC (India) Ltd.,Adtiya Birla Real estate Ltd,Valor Estate Ltd,Max Estate Ltd,Welspun Enterprise Ltd,Ganesh Housing Ltd.,Ahluwalia Contracts (India) Ltd.,Hubtown Ltd.,TARC Ltd.,Marathon Nextgen Realty Ltd.,Hemisphere Properties Ltd.,Ajmera Realty & Infra India Ltd
20251001,437.55,1595.2,722.4,97.71,1542.6,2.96,1563.65,2030.85,1516.5,361.1,82.23,431.1,895.85,7.21,698.85,303.75,423.8,347.86,455.33,1139.9,596.9,1045.3,268.25,280.9,169.55,372.7,594.3,191.3,118.76,109.6,1646.25,163.35,468.5,510.6,842.95,978.45,281.95,158.75,595.1,182.95,1003.3
20251003,440.35,1605.75,729.1,96.63,1532.6,3.01,1564.35,2033.45,1470.45,367.4,83.78,433.4,896.3,7.57,720.2,301.65,426.1,347.28,456.97,1113.05,601.6,1051.65,267.65,280.9,171.15,378.3,593.8,190.15,118.88,113.15,1618.25,161.9,497.65,531.65,858.45,1002.6,306.95,160.55,600.75,183.95,1006.25
20251006,436.95,1622.45,735.3,95.32,1542.3,2.93,1593.95,2056.75,1471.15,364.7,83.99,427.45,891.8,7.54,705.05,298.95,420.02,346.82,451.86,1115.55,595.9,1033.0,266.85,281.1,169.95,371.75,613.45,187.5,115.64,111.45,1569.85,162.4,485.7,547.0,845.6,996.4,323.75,158.85,601.85,149.6,994.35
20251007,441.6,1636.15,736.9,94.74,1529.65,2.95,1613.4,2072.75,1469.6,361.1,82.0,431.65,926.3,7.41,736.3,299.35,424.03,345.02,452.56,1145.45,613.45,1025.45,265.45,278.9,167.65,372.3,613.8,186.45,116.92,112.6,1615.75,159.35,477.25,535.9,849.35,979.65,313.3,155.15,588.0,143.9,989.6
20251008,429.9,1575.45,724.4,93.26,1513.6,2.87,1590.5,2032.8,1458.75,358.75,80.31,432.75,912.3,7.26,699.7,297.1,425.97,344.7,451.35,1129.0,618.45,1000.2,258.55,278.75,166.55,369.35,601.55,184.4,118.13,111.0,1612.9,154.25,464.45,525.45,832.4,966.15,311.05,151.2,584.85,148.65,1022.5
20251009,434.2,1591.9,728.95,93.91,1580.35,2.86,1590.75,2030.9,1443.35,356.75,79.95,429.1,918.55,7.39,699.05,297.6,426.15,344.17,454.37,1128.05,621.0,1005.25,247.95,277.5,166.2,369.3,592.55,184.65,118.34,113.65,1610.6,154.2,460.6,520.15,823.6,963.1,305.15,153.55,572.6,146.7,1018.3
20251010,444.4,1600.05,740.35,95.19,1622.35,2.94,1595.1,2092.15,1452.45,369.7,83.41,431.35,942.7,7.37,696.25,294.95,426.92,344.05,458.38,1154.7,621.9,1030.8,250.45,280.95,172.5,372.15,607.0,185.5,117.12,112.65,1627.35,160.3,473.8,525.85,831.9,973.8,309.65,150.85,572.65,148.55,1027.75
20251013,434.4,1588.95,741.7,92.88,1613.95,2.94,1622.5,2094.55,1448.9,374.7,82.0,430.4,930.25,7.27,685.6,294.75,421.74,342.43,457.21,1154.55,610.8,1038.15,255.1,275.35,168.5,370.8,590.2,183.35,116.59,113.35,1616.25,154.9,460.8,531.1,824.7,967.85,303.85,148.7,569.3,144.0,1045.85
20251014,424.2,1570.6,741.0,91.85,1602.95,2.93,1623.95,2058.8,1440.25,368.0,81.35,417.2,915.05,7.13,657.75,290.0,418.83,340.93,462.01,1141.1,612.9,1001.25,256.3,273.6,169.5,364.35,579.9,180.7,116.05,109.85,1616.45,154.4,463.1,529.4,807.8,945.85,311.8,146.1,556.95,144.0,1024.6
20251015,441.9,1600.95,756.05,93.15,1676.6,2.93,1676.75,2134.95,1508.05,381.75,81.27,431.45,956.15,7.15,662.6,288.1,424.71,342.93,464.89,1172.15,564.1,1044.05,254.25,273.55,172.35,365.0,582.7,182.45,116.38,111.8,1643.55,154.5,472.95,562.25,815.8,937.35,309.4,144.85,574.8,145.15,1032.75
20251016,436.8,1687.25,769.2,93.33,1696.25,2.99,1695.0,2204.5,1545.6,382.8,81.46,435.65,967.2,7.08,633.3,294.9,421.01,344.26,470.39,1194.65,574.7,1068.85,268.8,272.25,170.65,367.4,597.9,182.35,117.17,112.35,1635.65,154.85,474.65,543.25,860.65,954.1,309.75,145.05,578.8,143.7,1044.05
20251017,427.7,1700.25,768.2,92.75,1703.5,2.85,1686.45,2236.3,1525.35,383.05,80.83,434.8,981.1,6.99,621.3,299.65,419.72,342.86,465.45,1186.6,574.75,1070.4,267.35,270.1,166.65,397.7,587.25,179.55,116.1,111.4,1631.4,151.95,484.7,546.6,852.3,945.2,309.2,143.3,615.25,141.5,1022.1
20251020,432.5,1697.75,773.7,93.89,1716.45,2.82,1655.5,2289.6,1548.35,384.95,80.96,436.55,976.9,7.18,635.9,290.55,429.97,349.48,465.0,1185.85,578.65,1072.4,269.4,268.75,165.95,390.6,612.95,184.9,116.94,113.55,1633.75,152.05,479.7,550.7,859.25,936.05,306.95,147.05,661.0,143.4,1023.7
